album,titulo,letra,compositor,artista
"{'titulo_album': 'Millennium', 'ano': '2002'}",Meu Pranto Rolou,"Meu pranto rolou
Mais do que água
Na cachoeira
Depois que ela
Me abandonou
Na minha vila tranquila
A vida eu levava
E nessa felicidade
A verdade eu não via
Ela vivia dizendo
""Não vou te deixar""
Ela queria fazer 
O meu pranto rolar
E o meu pranto rolou
",Composição:  Benil Santos / Ivo Santos / Raúl Sampaio · ,Vinicius de Moraes
"{'titulo_album': 'Millennium', 'ano': '2002'}",A Tonga da Mironga do Kabuletê,"Eu caio de bossa
Eu sou quem eu sou
Eu saio da fossa
Xingando em nagô
Você que ouve e não fala
Você que olha e não vê
Eu vou lhe dar uma pala
Você vai ter que aprender
A tonga da mironga do kabuletê
A tonga da mironga do kabuletê
A tonga da mironga do kabuletê
Eu caio de bossa
Eu sou quem eu sou
Eu saio da fossa
Xingando em nagô
Você que lê e não sabe
Você que reza e não crê
Você que entra e não cabe
Você vai ter que viver
Na tonga da mironga do kabuletê
Na tonga da mironga do kabuletê
Na tonga da mironga do kabuletê
Você que fuma e não traga
E que não paga pra ver
Vou lhe rogar uma praga
Eu vou é mandar você
Pra tonga da mironga do kabuletê
Pra tonga da mironga do kabuletê
Pra tonga da mironga do kabuletê
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Millennium', 'ano': '2002'}",Escravo De Alegria,"E eu que andava nessa escuridão
De repente foi me acontecer
Me roubou o sono e a solidão
Me mostrou o que eu temia ver
Sem pedir licença nem perdão
Veio louca pra me enlouquecer
Vou dormir querendo despertar
Pra depois de novo conviver
Com essa luz que veio me habitar
Com esse fogo que me faz arder
Me dá medo e vem me encorajar
Fatalmente me fará sofrer
Ando escravo da alegria
E hoje em dia, minha gente, isso não é normal
Se o amor é fantasia
Eu me encontro ultimamente em pleno carnaval
",Composição:  Toquinho · ,Vinicius de Moraes
"{'titulo_album': 'Millennium', 'ano': '2002'}",A Brusca Poesia da Mulher,"Minha mãe, alisa de minha fronte todas as cicatrizes do passado
Minha irmã, conta-me histórias da infância em que que eu haja sido
herói sem mácula
Meu irmão, verifica-me a pressão, o colesterol, a turvação do timol, a
bilirrubina
Maria, prepara-me uma dieta baixa em calorias, preciso perder cinco
quilos
Chamem-me a massagista, o florista, o amigo fiel para as
confidências
E comprem bastante papel; quero todas as minhas esferográficas
Alinhadas sobre a mesa, as pontas prestes à poesia.
Eis que se anuncia de modo sumamente grave
A vinda da mulher amada, de cuja fragrância
já me chega o rastro.
É ela uma menina, parece de plumas
E seu canto inaudível acompanha desde muito a migração dos
ventos
Empós meu canto. É ela uma menina.
Como um jovem pássaro, uma súbita e lenta dançarina
Que para mim caminha em pontas, os braços suplicantes
Do meu amor em solidão. Sim, eis que os arautos
Da descrença começam a encapuçar-se em negros mantos
Para cantar seus réquiens e os falsos profetas
A ganhar rapidamente os logradouros para gritar suas mentiras.
Mas nada a detém; ela avança, rigorosa
Em rodopios nítidos
Criando vácuos onde morrem as aves.
Seu corpo, pouco a pouco
Abre-se em pétalas... Ei-la que vem vindo
Como uma escura rosa voltejante
Surgida de um jardim imenso em trevas.
Ela vem vindo... Desnudai-me, aversos!
Lavai-me, chuvas! Enxugai-me, ventos!
Alvoroçai-me, auroras nascituras!
Eis que chega de longe, como a estrela
De longe, como o tempo
A minha amada última!
",Composição:  Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Grabado En Buenos Aires Con Maria Creuza y Toquinho', 'ano': '2003'}",Catendê,"Meu catendê ... de lá de China
Luante, meu catendê
Meu catendê ... de lá de China
Luante, meu catendê
Varre a voz o vendaval
Perdido no céu de espanto
Meu barco fere a distância
No disparo da inconstância
Me encontrei sem me esperar
Quanto mais o tempo avança
Mais me perco neste mar
E no rumo do segredo
Caminhei todo o caminho
Ei lá
Maré brava maré mansa
Ei lá
Vou na trilha da esperança
Ei lá
Vou no passo da alvorada
Ei lá
Mar amor enamorada
De segredo e de procura
Fiz do medo o meu amigo
E de força sempre pura
O meu canto se encontrou
E no fim da jornada
Vi meu canto crescer
Há tanto escuro na estrada 
Esperando o sol nascer
Vou cantar pela vida
O meu canto de amor
Há tanta dor escondida
Tanto canto sem cantor 
Ei lá
Maré brava maré mansa
Ei lá
Vou na trilha da esperança
Ei lá
Vou no passo da alvorada
Ei lá
",Composição:  Jocafi · ,Vinicius de Moraes
"{'titulo_album': 'Grabado En Buenos Aires Con Maria Creuza y Toquinho', 'ano': '2003'}",Garota de Ipanema,"Olha que coisa mais linda, mais cheia de graça
É ela, menina, que vem e que passa
Seu doce balanço, caminho do mar
Moça do corpo dourado, do sol de Ipanema
O seu balançado é mais que um poema
É a coisa mais linda que eu já vi passar
Ah, por que estou tão sozinho?
Ah, por que tudo é tão triste?
Ah, a beleza que existe
A beleza que não é só minha
Que também passa sozinha
Ah, se ela soubesse que quando ela passa
O mundo inteirinho se enche de graça
E fica mais lindo por causa do amor
",Composição:  Antonio Carlos Jobim / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Série Elenco', 'ano': '2004'}",Seja Feliz,"Foi, foi como todo amor se vai
Sem nem dizer aonde vai
Foi e eu fiquei sem ninguém
À espera do que não vem
Que melancolia
Foi, foi só porque eu nada fiz
Como um adeus que nem se deu
Pois seja muito feliz
Infeliz já sou eu
Pra sofrer sofro eu
",Composição:  Baden Powell / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Série Elenco', 'ano': '2004'}",Só Por Amor,"Só por amor
Só por paixão
Só por você
Você que nunca disse não
Só por saber
Que o coração
Sabe demais
Que a razão não tem razão
Por você que foi só minha
Sem jamais pensar por quê
Por você que apenas tinha
Razões e mais razões para não ser
Só por amor
Só por amado
Só por amar
Meu amor, muito obrigado
Meu amor, muito obrigado
",Composição:  Baden Powell / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Regra Três,"Tantas você fez que ela cansou 
Porque você, rapaz
Abusou da regra três 
Onde menos vale mais
Da primeira vez ela chorou 
Mas resolveu ficar
É que os momentos felizes 
Tinham deixado raízes no seu penar
Depois perdeu a esperança 
Porque o perdão também cansa de perdoar
Tem sempre o dia em que a casa cai
Pois vai curtir seu deserto, vai. 
Mas deixe a lâmpada acesa 
Se algum dia a tristeza quiser entrar
E uma bebida por perto 
Porque você pode estar certo que vai chorar
",Composição:  Antonio Pecci Filho Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Sem Limite', 'ano': '2002'}",Samba do Jato,"Um galo cantou
Meu sonho acordou
O jogo acabou, calado
E eu madruguei
Chutando pedras pelo chão
Com a solidão do lado
Um cão me seguiu
Um jato partiu
E tudo ficou parado
E eu acabei naquele bar
Onde nós dois
Vivemos nosso passado
Fui beber
Meu ""traçado"" de paixão e dor
Com o copo a suar
Minha ilusão de amor
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Sem Limite', 'ano': '2002'}",É Preciso Dizer Adeus,"É inútil fingir 
Não te quero enganar 
É preciso dizer adeus 
É melhor esquecer 
Sei que devo partir 
Só me resta dizer adeus 
Ah, eu te peço perdão 
Mas te quero lembrar 
Como foi lindo 
O que morreu 
E essa beleza do amor 
Que foi tão nossa 
E me deixa tão só 
Eu não quero perder 
Eu não quero chorar 
Eu não quero trair 
Porque tu foste pra mim 
Meu amor 
Como um dia de sol
",Composição:  Tom Jobim / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Sem Limite', 'ano': '2002'}",Cotidiano n°2,"Há dias que eu não sei o que me passa 
Eu abro o meu Neruda e apago o sol 
Misturo poesia com cachaça 
E acabo discutindo futebol
Mas não tem nada, não 
Tenho o meu violão
Acordo de manhã, pão sem manteiga 
E muito, muito sangue no jornal 
Aí a criançada toda chega 
E eu chego a achar Herodes natural
Mas não tem nada, não 
Tenho o meu violão
Depois faço a loteca com a patroa 
Quem sabe nosso dia vai chegar 
E rio porque rico ri à toa 
Também não custa nada imaginar
Mas não tem nada, não 
Tenho o meu violão
Aos sábados em casa tomo um porre 
E sonho soluções fenomenais 
Mas quando o sono vem e a noite morre 
O dia conta histórias sempre iguais
Mas não tem nada, não 
Tenho o meu violão
Às vezes quero crer mas não consigo 
É tudo uma total insensatez 
Aí pergunto a Deus: escute, amigo 
Se foi pra desfazer, por que é que fez?
Mas não tem nada, não 
Tenho o meu violão
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Sem Limite', 'ano': '2002'}",Tudo Na Mais Santa Paz,"Tranca bem a porta, amor
Fecha a janela e passa a tramela, por favor
E se não se importa, amor
Defuma a casa em nome de Nosso Senhor
Acabou a festa, amor
Ainda tem uma cerveja no congelador
Vamos ao que resta, amor
Dia de festa é véspera de muita dor
E se o fantasma ficar e se o cachorro latir
E se o silêncio gritar e se o pavor assumir
E se a mulher não topar e se o amigo sumir
E se o relógio parar e se amanhã não surgir
Tudo na mais perfeita ordem
Tudo na mais santa paz
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Sem Limite', 'ano': '2002'}","A Bênção, Bahia","Olorô, Bahia
Nós viemos pedir sua bênção, saravá!
Hepa hê, meu guia
Nós viemos dormir no colinho de lemanjá!
Nanã Borokô fazer um Bulandê
Efó, caruru e aluá
Pimenta bastante pra fazer sofrer
Bastante mulata para amar
Fazer juntó
Meu guia, hê
Seu guia, hê
Bahia!
Saravá, senhora
Nossa mãe foi-se embora pra sempre do Afojá
A rainha agora
É Oxum, é a mãe Menininha do Gantois
Pedir à mãe Olga do Alakêto, hê
Chamar Iansã para dançar
Xangô, rei Xangô, Kabueci-elê
Meu pai! Oxalá, hepa babá!
A bênção, mãe
Senhora mãe
Menina mãe
Rainha!
Olorô, Bahia
Nós viemos pedir sua bênção, saravá!
Hepa hê, meu guia
Nós viemos dormir no colinho de lemanjá!
",Composição:  Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Sem Limite', 'ano': '2002'}",O Poeta Aprendiz,"Ele era um menino 
Valente e caprino 
Um pequeno infante 
Sadio e grimpante 
Anos tinha dez 
E asas nos pés 
Com chumbo e bodoque 
Era plic e ploc 
O olhar verde gaio 
Parecia um raio 
Para tangerina 
Pião ou menina 
Seu corpo moreno 
Vivia correndo 
Pulava no escuro 
Não importa que muro 
Saltava de anjo 
Melhor que marmanjo 
E dava o mergulho 
Sem fazer barulho 
Em bola de meia 
Jogando de meia-direita ou de ponta 
Passava da conta 
De tanto driblar
Amava era amar
Amava Leonor
Menina de cor
Amava as criadas
Varrendo as escadas
Amava as gurias
Da rua, vadias
Amava suas primas
Com beijos e rimas
Amava suas tias
De peles macias
Amava as artistas
Das cine-revistas
Amava a mulher
A mais não poder
Por isso fazia
Seu grão de poesia
E achava bonita
A palavra escrita
Por isso sofria
De melancolia
Sonhando o poeta
Que quem sabe um dia
Poderia ser
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Sem Limite', 'ano': '2002'}",Por Que Será,"Por que será 
Que eu ando triste por te adorar? 
Por que será 
Que a vida insiste em se mostrar 
Mais distraída dentro de um bar
Por que será? 
Por que será 
Que o nosso assunto já se acabou? 
Por que será 
Que o que era junto se separou
E o que era muito se definhou
Por que será? 
Eu, quantas vezes
Me sento à mesa de algum lugar
Falando coisas só por falar
Adiando a hora de te encontrar
É muito triste 
Quando se sente tudo morrer 
E ainda existe o amor 
Que mente para esconder 
Que o amor presente 
Não tem mais nada para dizer
Por que será?
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Amigos Meus,"Amigos meus, está chegando a hora
Em que a tristeza aproveita pra entrar
E todos nós vamos ter que ir embora
Pra vida lá fora continuar
Tem sempre aquele
Que toma mais uma no bar
Tem sempre um outro
Que vai direitinho pro lar
Mas tem também
Uma sala que está vazia
Sem luz, sem amor, sombria
Prontinha pro show voltar
E em novo dia
A gente ver novamente
A sala se encher de gente
Pra gente recomeçar
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Gilda,"A7(9/11)         E7M
Nos abismos do infinito
E7M/G#        G°       F#m7
Uma      estrela      apareceu
                B7(9)        F#m7  B7      E6  
E da terra ouviu-se um grito  Gilda,         Gilda
A7(9/11)       E7M
Era eu, maravilhado
G#7/4        G#7 C#m7  C#m/B
Ante a sua   aparição
A#m7(b5)        Am6      G#m7
Que aos poucos   fui      levado
     C#7(b9)      F#7
nos véus do    bailado
     B7(9)  Bm7   E7(9)
Pela imensidão
A#m7(b5)            Am6      G#m7
Aos      caprichos do seu rastro
        C#7(b9)   F#7
Como um pobre       astro
 F7(9)   Bm7  E7  A#m7(b5) Am6   G#m7  C#7(b9)  F#7   B7(9)   Bm7       E7
Morto de paixã   Golda,           Gilda       Gilda            e eu      
A#m7(b5) Am6   G#m7   C#7(b9)   F#7   B7(9)   E6   A7M  F7M  E7M F#m7(11)  F7  E7M 
Gilda,        Gilda         Gilda         e   eu
A7M   F7M   E7M   F#m7(11)   F7  E6  
A7(9/#11)           E7M
E depois,  nós dois unidos
E7M/G#           G°     F#m7
Como Eurídice e Orfeu
              B7(9)    F#m7  B7     E6
Fomos  sendo conduzidos   Gilda         e  eu
A7(9/#11)         E7M
Pelas mágicas esferas
G#7/4           G#7  C#m7    C#m/B 
Que se perdem  pelo     céu
A#m7(b5)      Am6    G#m7
Em demanda de outras  eras
      C#7(b9)   F#7
Velhas prima........veras
            B7(9) Bm7   E7(9)
Que o tempo esqueceu
A#m7(b5)   Am6       G#m7
Pelo espaço que nos leva
   C#7(b9)     F#7
Pela imensa        treva 
   B7(9)     Bm7    E7  A#m7(b5)  Am6   G#m7  C#7(b9)   F#7  B7(9)     Bm7
Para as mãos de Deus    Gilda,               Gilda         Gilda         e   eu
E7    A#m7(b5)    Am6   G#m7   C#7(b9)     F#7    B7(9)      E6
  Gilda,                 Gilda                      Gilda             e   eu.
A7M    /    F7M  E7M    / /     F#m7(11)   /    F7   E7M   /  /  A7M    /  F7M   E7M  /
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Caro Raul,"Caro Raul, tá tudo bem, tá tudo azul
Que tal a gente se encontrar 
Lá por um bar na zona sul
Bater um papo e pôr as coisas no lugar 
E, se puder, leve o Carlinhos, o Levon
Doca e Paulinho com você, pra gente ver 
Quem é o bom numa partida de sinuca 
Pra valer. 
Depois podemos dar um pulo no Carreta 
E um abraço no Luís 
E com o Ampar saborear 
Um vinhozinho chegadinho de Paris 
Telefonar para o Zequinha e a Regina 
Pra saber se a saideira que eles vão oferecer Vai ter 
Cartola e Louis Prima até o dia amanhecer
E, finalmente, quando a gente estiver mesmo pra dormir 
Numa champanhe bem gelada sucumbir 
Erguendo a taça ao novo dia que há de vir
Caro Raul 
Falado:
Neste choro pro Raul, Toquinho e eu mandamos um abraço fraterno pro Zé Nogueira, pra Joca e pra Luizinha, pro Elifas, que fez a capa deste disco, pro velho e querido Américo e sua Janette, pr'aquela gente maravilhosa do Concorde, lá no Rio, Zé Fernandes, o maître perfeito, o Sérgio de Souza, e lá no Antonio's, não muito distante, o Manolinho, não é? Manolinho… lá, sempre comparecendo a tudo isso, sem falar no Cayon, que ajudou a gente a armar toda essa confusão.
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Golpe Errado,"Ouça, malandragem não convence
Uma vez a gente vence
Outra vez bota a perder
Pense, há um ditado muito certo: 
Tem sempre um que é mais esperto
Tem sempre um que vai sofrer
Lembre que você, mesmo malandro
Tem que ter de vez em quando 
Um tempinho pra viver
Olha que não é nada engraçado 
Você dar um golpe errado 
E ver o sol nascer quadrado
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Até Rolar Pelo Chão,"Não quero entrar
Para não ter que sair
Porque se eu der de sambar
Ninguém me tira daqui
Vou balançar
Até meu corpo cair
Meu pé vai dar o que falar
Não vejo ninguém pra ir
Nada de par
Pra me empatar, não
Hoje eu só quero
É me espalhar no salão
Mas deixa estar
Não vou fazer confusão
Tudo que eu quero é sambar
Até rolar pelo chão
",Composição:  Mutinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Valsa do Bordel,"Longas piteiras
Perfumes no ar
Roxas olheiras
Em torno do olhar
Que brincadeira
Fazer profissão
Da mais antiga e
Mais sem solução
Discos franceses
Tão sentimentais
Velhos fregueses
Com taras iguais
Ah, quem me dera voltar para trás
Sem sentir mais tanta solidão
E, de repente, entre tanto cliente
Lá chega o gostosão
E, incontinênti, abre conta corrente
Em nosso coração
A gente apanha
Mas sente prazer
Dá o que ganha
E o que se vai fazer?
Ele é a paixão, todo resto é saber
Vender um pouco de ilusão
E um dia assim
Como quem faz porque acontece
Num abraço ela me desse
A esperança de poder dizer-lhe adeus
",Composição:  Toquinho / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Canção Em Modo Menor,"Porque cada manhã me traz 
O mesmo sol sem resplendor 
E o dia é só um dia a mais 
E a noite é sempre a mesma dor 
Porque o céu perdeu a cor 
E agora em cinzas se desfaz 
Porque eu já não posso mais 
Sofrer a mágoa que sofri 
Porque tudo que eu quero é paz 
E a paz só pode vir de ti 
Porque meu sonho se perdeu 
E eu sempre fui um sonhador 
Porque perdidos são meus ais 
E foste para nunca mais 
Oh, meu amor 
Porque minha canção morreu 
No apelo mais desolador 
Porque a solidão sou eu 
Ah, volta aos braços meus, amor
",Composição:  ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}","Mulher, Sempre Mulher","Mulher, ai, ai, mulher
Sempre mulher
Dê no que der
Você me abraça, me beija, me xinga
Me bota mandinga
Depois faz a briga
Só pra ver quebrar
Mulher, seja leal
Você bota muita banca
Infelizmente eu não sou jornal
Mulher, martírio meu
O nosso amor
Deu no que deu
E sendo assim, não insista
Desista, vá fazendo a pista
Chore um bocadinho
E se esqueça de mim
",Composição:  Antonio Carlos Jobim / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Eu Agradeço,"Eu agradeço
Eu agradeço a você
Muito obrigado por toda a beleza que você nos deu
Sua presença, eu reconheço
Foi a melhor recompensa
Que a vida nos ofereceu
Foi muito lindo
Você ter vindo
Sempre ajudando, sorrindo, dizendo
Que não tem de quê
Eu agradeço, eu agradeço
Você ter me virado do avesso
E ensinado a viver
Eu reconheço que não tem preço
Gente que gosta de gente assim feito você
",Composição:  Edú Lobo / Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",O Haver,"Resta, acima de tudo, essa capacidade de ternura
Essa intimidade perfeita com o silêncio
Resta essa voz íntima pedindo perdão por tudo
- Perdoai!eles não têm culpa de ter nascido...
Resta esse antigo respeito pela noite, esse falar baixo
Essa mão que tateia antes de ter, esse medo
De ferir tocando, essa forte mão de homem
Cheia de mansidão para com tudo que existe.
Resta essa imobilidade, essa economia de gestos
Essa inércia cada vez maior diante do Infinito
Essa gagueira infantil de quem quer exprimir o inexprimível
Essa irredutível recusa à poesia não vivida.
Resta essa comunhão com os sons, esse sentimento
Da matéria em repouso, essa angústia da simultaneidade
Do tempo, essa lenta decomposição poética
Em busca de uma só vida, uma só morte, um só Vinicius.
Resta esse coração queimando como um círio
Numa catedral em ruínas, essa tristeza
Diante do cotidiano; ou essa súbita alegria
Ao ouvir passos na noite que se perdem sem história...
Resta essa vontade de chorar diante da beleza
Essa cólera em face da injustiça e do mal-entendido
Essa imensa piedade de si mesmo, essa imensa
Piedade de si mesmo e de sua força inútil.
Resta esse sentimento de infância subitamente desentranhado
De pequenos absurdos, essa capacidade
De rir à toa, esse ridículo desejo de ser útil
E essa coragem para comprometer-se sem necessidade.
Resta essa distração, essa disponibilidade, essa vagueza
De quem sabe que tudo já foi como será no vir-a-ser
E ao mesmo tempo essa vontade de servir, essa
Contemporaneidade com o amanhã dos que não tiveram ontem nem hoje.
Resta essa faculdade incoercível de sonhar
De transfigurar a realidade, dentro dessa incapacidade
De aceitá-la tal como é, e essa visão
Ampla dos acontecimentos, e essa impressionante
E desnecessária presciência, e essa memória anterior
De mundos inexistentes, e esse heroísmo
Estático, e essa pequenina luz indecifrável
A que às vezes os poetas dão o nome de esperança.
Resta esse desejo de sentir-se igual a todos
De refletir-se em olhares sem curiosidade e sem memória
Resta essa pobreza intrínseca, essa vaidade
De não querer ser príncipe senão do seu reino.
Resta esse diálogo cotidiano com a morte, essa curiosidade
Pelo momento a vir, quando, apressada
Ela virá me entreabrir a porta como uma velha amante
Mas recuará em véus ao ver-me junto à bem-amada...
Resta esse constante esforço para caminhar dentro do labirinto
Esse eterno levantar-se depois de cada queda
Essa busca de equilíbrio no fio da navalha
Essa terrível coragem diante do grande medo, e esse medo
Infantil de ter pequenas coragens.
",Composição:  Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Soneto de Martha (La Flor Ilimitada),"Teu rosto amada minha
É tão perfeito
Tem uma luz tão cálida e divina
Que é lindo vê-lo quando se ilumina
Como se um cílio ardesse no teu peito
É tão leve teu corpo de menina
Assim de amplos quadris e de busto estreito
Que dir-se-ia uma jovem dançarina
De pele branca e fina
De olhar direito
Deveria chamar-te claridade
Pelo modo espontâneo
Franco e aberto
Com que encheste de cor meu mundo escuro
E sem olhar, nem vida, nem idade.
Me deste em tempo certo
Os frutos verdes deste amor maduro.
",Composição:  Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Feijoada À Minha Moda,"Amiga Helena Sangirardi
Conforme um dia eu prometi
Onde, confesso que esqueci
E embora - perdoe - tão tarde
(Melhor do que nunca!) este poeta
Segundo manda a boa ética
Envia-lhe a receita (poética)
De sua feijoada completa.
Em atenção ao adiantado
Da hora em que abrimos o olho
O feijão deve, já catado
Nos esperar, feliz, de molho.
E a cozinheira, por respeito
À nossa mestria na arte
Já deve ter tacado peito
E preparado e posto à parte
Os elementos componentes
De um saboroso refogado
Tais: cebolas, tomates, dentes
De alho - e o que mais for azado
Tudo picado desde cedo
De feição a sempre evitar
Qualquer contato mais... vulgar
Às nossas nobres mãos de aedo
Enquanto nós, a dar uns toques
No que não nos seja a contento
Vigiaremos o cozimento
Tomando o nosso uísque on the rocks.
Uma vez cozido o feijão
(Umas quatro horas, fogo médio)
Nós, bocejando o nosso tédio
Nos chegaremos ao fogão
E em elegante curvatura:
Um pé adiante e o braço às costas
Provaremos a rica negrura
Por onde devem boiar postas
De carne-seca suculenta
Gordos paios, nédio toucinho
(Nunca orelhas de bacorinho
Que a tornam em excesso opulenta!)
E - atenção! - segredo modesto
Mas meu, no tocante à feijoada:
Uma língua fresca pelada
Posta a cozer com todo o resto.
Feito o quê, retire-se caroço
Bastante, que bem amassado
Junta-se ao belo refogado
De modo a ter-se um molho grosso
Que vai de volta ao caldeirão
No qual o poeta, em bom agouro
Deve esparzir folhas de louro
Com um gesto clássico e pagão.
Inútil dizer que, entrementes
Em chama à parte desta liça
Devem fritar, todas contentes
Lindas rodelas de lingüiça
Enquanto ao lado, em fogo brando
Desmilingüindo-se de gozo
Deve também se estar fritando
O torresminho delicioso
Em cuja gordura, de resto
(Melhor gordura nunca houve!)
Deve depois frigir a couve
Picada, em fogo alegre e presto.
Uma farofa? - tem seus dias...
Porém que seja na manteiga!
A laranja gelada, em fatias
(Seleta ou da Bahia) - e chega.
Só na última cozedura
Para levar à mesa, deixa-se
Cair um pouco da gordura
Da lingüiça na iguaria - e mexa-se.
Que prazer mais um corpo pede
Após comido um tal feijão?
- Evidentemente uma rede
E um gato para passar a mão...
Dever cumprido. Nunca é vã
A palavra de um poeta... - jamais!
Abraça-a, em Brillat-Savarin
O seu Vinicius de Moraes.
",Composição:  Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Balada da Moça do Miramar,"Silêncio da madrugada 
No Edifício Miramar... 
Sentada em frente à janela 
Nua, morta, deslumbrada 
Uma moça mira o mar.
Ninguém sabe quem é ela 
Nem ninguém há de saber 
Deixou a porta trancada 
Faz bem uns dois cinco dias 
Já começa a apodrecer 
Seus ambos joelhos de âmbar 
Furam-lhe o branco da pele 
E a grande flor do seu corpo 
Destila um fétido mel.
Mantém-se extática em face 
Da aurora em elaboração 
Embora formigas pretas 
Que lhe entram pelos ouvidos 
Se escapem por umas gretas 
Do lado do coração. 
Em volta é segredo: e móveis 
Imóveis na solidão... 
Mas apesar da necrose 
Que lhe corrói o nariz 
A moça está tão sem pose 
Numa ilusão tão serena 
Que, certo, morreu feliz.
A vida que está na morte 
Os dedos já lhe comeu 
Só lhe resta um aro de ouro 
Que a morte em vida lhe deu 
Mas seu cabelo de ouro 
Rebrilha com tanta luz 
Que a sua caveira é bela 
E belo é seu ventre louro 
E seus pelinhos azuis.
De noite é a lua quem ama 
A moça do Miramar 
Enquanto o mar tece a trama 
Desse conúbio lunar 
Depois é o sol violento 
O sol batido de vento 
Que vem com furor violeta 
A moça violentar.
Muitos dias se passaram 
Muitos dias passarão 
À noite segue-se o dia 
E assim os dias se vão 
E enquanto os dias se passam 
Trazendo a putrefação 
À noite coisas se passam... 
A moça e a lua se enlaçam 
Ambas mortas de paixão.
Ah, morte do amor do mundo 
Ah, vida feita de dar 
Ah, sonhos sempre nascendo 
Ah, sonhos sempre a acabar 
Ah, flores que estão crescendo 
Do fundo da podridão 
Ah, vermes, morte vivendo 
Nas flores ainda em botão 
Ah, sonhos, ah, desesperos 
Ah, desespero de amar 
Ah, vida sempre morrendo 
Ah, moça do Miramar!
",Composição:  Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Dialética,"É claro que a vida é boa
E a alegria, a única indizível emoção
É claro que te acho linda
Em ti bendigo o amor das coisas simples
É claro que te amo
E tenho tudo para ser feliz
Mas acontece que eu sou triste...
",Composição:  Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",Soneto do Amor Total,"Amo-te tanto, meu amor... não cante
O humano coração com mais verdade...
Amo-te como amigo e como amante
Numa sempre diversa realidade
Amo-te afim, de um calmo amor prestante
E te amo além, presente na saudade
Amo-te, enfim, com grande liberdade
Dentro da eternidade e a cada instante
Amo-te como um bicho, simplesmente
De um amor sem mistério e sem virtude
Com um desejo maciço e permanente
E de te amar assim, muito e amiúde
É que um dia em teu corpo de repente
Hei de morrer de amar mais do que pude
",Composição:  Vinícius de Moraes · ,Vinicius de Moraes
"{'titulo_album': 'Como Dizia o Poeta', 'ano': '2001'}",O Mais-que-perfeito,"Ah, quem me dera
Ir-me contigo agora
A um horizonte firme, comum
Embora amar-te
Ah, quem me dera amar-te
Sem mais ciúmes
De alguém em algum lugar
Que nem presumes
Ah, quem me dera ver-te
Sempre a meu lado
Sem precisar dizer-te
Jamais cuidado
Ah, quem me dera ter-te
Como um lugar
Plantado num chão verde
Para eu morar-te
Ah, quem me dera ter-te
Morar-te até morrer-te
",Composição:  Jards Macalé / Vinícius de Moraes · ,Vinicius de Moraes
